evidence_id,domain,analysis,population,N,events,estimand,effect_type,estimate,lower95,upper95,p_value,secondary_statistic,secondary_value,source_status,source_file,source_row_or_key,script_origin,new_or_original,phase_origin,candidate_manuscript_location,interpretive_role,notes
EICU_M1,eICU adjustment context,eICU modified Poisson M1,final locked aggregate eICU frame,7981,143,post-landmark hospital mortality,RR per 10 mg/dL GV,1.22078589364023,1.09670093889812,1.3589102965557,0.000264414939954191,variance_estimator,cluster-robust (hospitalid),LOCKED_RESULT_VERIFIED,controlled_final_lineage/data/controlled_local_only/MIMIC_eICU_derived/results/10_cross_database_results.csv,model_id=HARM_eICU-CRD_M1,original_public_code/analyses/07_eicu/01_fit_harmonized_models.R,original_final_lineage,Phase 1.6,Supplement; eICU context,Adjustment context,M1 uses the broader locked aggregate frame; effect type is RR.
EICU_M2,eICU adjustment context,eICU modified Poisson M2,final locked aggregate eICU frame,7115,130,post-landmark hospital mortality,RR per 10 mg/dL GV,1.15793422739336,1.02641848313281,1.30630117929742,0.0171295560160658,variance_estimator,cluster-robust (hospitalid),LOCKED_RESULT_VERIFIED,controlled_final_lineage/data/controlled_local_only/MIMIC_eICU_derived/results/10_cross_database_results.csv,model_id=HARM_eICU-CRD_M2,original_public_code/analyses/07_eicu/01_fit_harmonized_models.R,original_final_lineage,Phase 1.6,Supplement; eICU context,Adjustment context,M2 uses the final aggregate frame; effect type is RR.
EICU_M3,eICU adjustment context,eICU modified Poisson M3,final locked aggregate eICU frame,7115,130,post-landmark hospital mortality,RR per 10 mg/dL GV,1.15774790083148,1.0245783161834,1.30822620458402,0.0188003564760549,variance_estimator,cluster-robust (hospitalid),LOCKED_RESULT_VERIFIED,controlled_final_lineage/data/controlled_local_only/MIMIC_eICU_derived/results/10_cross_database_results.csv,model_id=HARM_eICU-CRD_M3,original_public_code/analyses/07_eicu/01_fit_harmonized_models.R,original_final_lineage,Phase 1.6,Results; Figure 3,Primary eICU landscape context,"Final aggregate frame N=7,115/events=130; RR is not interchangeable with MIMIC/INSPIRE HR."
EICU_M4,eICU adjustment context,eICU modified Poisson M4,final locked aggregate eICU frame,7115,130,post-landmark hospital mortality,RR per 10 mg/dL GV,1.13279595096984,0.990175899305203,1.29595829128348,0.0693402609606972,variance_estimator,cluster-robust (hospitalid),LOCKED_RESULT_VERIFIED,controlled_final_lineage/data/controlled_local_only/MIMIC_eICU_derived/results/10_cross_database_results.csv,model_id=HARM_eICU-CRD_M4,original_public_code/analyses/07_eicu/01_fit_harmonized_models.R,original_final_lineage,Phase 1.6,Results; Figure 3,Measurement-process specification shift,M4 adds count and span to the preserved aggregate context; this is not a causal adjustment model.
INSPIRE_CORRECTED_48H_30D,INSPIRE timing context,Corrected INSPIRE 48-hour landmark sensitivity,INSPIRE_OPEND_48H_LANDMARK_V3,1511,31,30-day all-cause mortality after corrected 48-hour operation-end landmark,HR per 10 mg/dL GV,1.10438443373211,0.84649513182544,1.44084110069202,0.464320490701829,ph_global,6.2441546930507996e-01,LOCKED_RESULT_VERIFIED,controlled_final_lineage/results/final_v5_INSPIRE/48h_landmark_result_v5.csv,model_id=ADMINV5_I2_48h_landmark_30d,controlled_final_lineage/code/current_v5/18_uniform_admin_censoring_rerun_v5.R,original_final_lineage,Phase 1.6,Supplement; Figure 3 timing sensitivity,Corrected 48-hour landmark sensitivity; no exposure-risk overlap claim is made.,NA
INSPIRE_I1_24H_30D,INSPIRE timing/adjustment context,INSPIRE ADMINV5_I1_30d,INSPIRE_OPEND_24H_LANDMARK_V2,1353,27,30-day all-cause mortality after operation-end landmark,HR per 10 mg/dL GV,0.845958459945858,0.634084789153596,1.12862779267934,0.255408313290963,ph_global,1.17506127430156e-01,LOCKED_RESULT_VERIFIED,controlled_final_lineage/results/final_v5_INSPIRE/30d_primary_results_v5.csv,model_id=ADMINV5_I1_30d,controlled_final_lineage/code/current_v5/18_uniform_admin_censoring_rerun_v5.R,original_final_lineage,Phase 1.6,Results; Figure 3,Timing/adjustment context,Final v5 24-hour operation-end landmark; event-limited.
INSPIRE_I2_24H_30D,INSPIRE timing/adjustment context,INSPIRE ADMINV5_I2_30d,INSPIRE_OPEND_24H_LANDMARK_V2,1353,27,30-day all-cause mortality after operation-end landmark,HR per 10 mg/dL GV,0.904554212678046,0.652561595227856,1.25385607988147,0.547103103354018,ph_global,2.30994023191988e-01,LOCKED_RESULT_VERIFIED,controlled_final_lineage/results/final_v5_INSPIRE/30d_primary_results_v5.csv,model_id=ADMINV5_I2_30d,controlled_final_lineage/code/current_v5/18_uniform_admin_censoring_rerun_v5.R,original_final_lineage,Phase 1.6,Results; Figure 3,Primary INSPIRE context,Final v5 I2; day-30 coverage is source-provenance attested and no patient-level coverage-end field is present.
INSPIRE_I3_24H_30D,INSPIRE timing/adjustment context,INSPIRE ADMINV5_I3_30d,INSPIRE_OPEND_24H_LANDMARK_V2,1353,27,30-day all-cause mortality after operation-end landmark,HR per 10 mg/dL GV,0.928498765858282,0.672393948065706,1.2821500857948,0.652316719011248,ph_global,4.4120848599335899e-01,LOCKED_RESULT_VERIFIED,controlled_final_lineage/results/final_v5_INSPIRE/30d_primary_results_v5.csv,model_id=ADMINV5_I3_30d,controlled_final_lineage/code/current_v5/18_uniform_admin_censoring_rerun_v5.R,original_final_lineage,Phase 1.6,Results; Figure 3,Measurement-process specification shift,"Final v5 I3; count/span are process-context terms, not causal confounders."
LANDSCAPE_EICU_M1_24H_AGGREGATE,eICU-CRD analytic-context landscape,EICU_M1_24H_AGGREGATE,locked aggregate frame for M1,7981,143,post-landmark hospital mortality,RR,1.22078589364023,1.09670093889812,1.3589102965557,0.000264414939954191,same_patient_pair,FALSE,LOCKED_RESULT_VERIFIED,controlled_final_lineage/data/controlled_local_only/MIMIC_eICU_derived/results/10_cross_database_results.csv,HARM_eICU-CRD_M1,local_extension_workspace/scripts/phase2b/02_analytic_context_landscape.R,locked_landscape_row,Phase 2B,Candidate Figure 3; eICU_adjustment,Context-family landscape result,M1 uses the broader locked aggregate frame (N/events differ from final M2-M4 frame). Event-level glucose reconstruction is unavailable; RR is not interchangeable with MIMIC/INSPIRE HR. Effect type is preserved as HR or RR; no pooling or cross-database heterogeneity test.
LANDSCAPE_EICU_M2_24H_AGGREGATE,eICU-CRD analytic-context landscape,EICU_M2_24H_AGGREGATE,locked aggregate frame for M2,7115,130,post-landmark hospital mortality,RR,1.15793422739336,1.02641848313281,1.30630117929742,0.0171295560160658,same_patient_pair,FALSE,LOCKED_RESULT_VERIFIED,controlled_final_lineage/data/controlled_local_only/MIMIC_eICU_derived/results/10_cross_database_results.csv,HARM_eICU-CRD_M2,local_extension_workspace/scripts/phase2b/02_analytic_context_landscape.R,locked_landscape_row,Phase 2B,Candidate Figure 3; eICU_adjustment,Context-family landscape result,"M2-M4 use the final aggregate frame N=7,115/events=130; M4 adds count and span to the locked aggregate context. Event-level glucose reconstruction is unavailable; RR is not interchangeable with MIMIC/INSPIRE HR. Effect type is preserved as HR or RR; no pooling or cross-database heterogeneity test."
