context_id,estimate_origin,origin_type,origin_path,origin_sha256,row_selector,verified_by,verified_by_sha256,verified_by_selector,verification_status,lineage_version
MIMIC_ADJUSTMENT_A_30D,locked_analysis_record/mice_pooled_models.csv#MICE_A_30d,LOCKED_RESULT,locked_analysis_record/mice_pooled_models.csv,41c6a64f707f40518b5c809e67b26b23e9b3ade65ddea82708d5c5c1ce1c4d0a,model_id=MICE_A_30d,NA,NA,NA,LOCKED_RESULT_VERIFIED,JAHA_v5_final_lineage
MIMIC_ADJUSTMENT_B_30D,locked_analysis_record/mice_pooled_models.csv#MICE_B_30d,LOCKED_RESULT,locked_analysis_record/mice_pooled_models.csv,41c6a64f707f40518b5c809e67b26b23e9b3ade65ddea82708d5c5c1ce1c4d0a,model_id=MICE_B_30d,NA,NA,NA,LOCKED_RESULT_VERIFIED,JAHA_v5_final_lineage
MIMIC_ADJUSTMENT_C_30D,locked_analysis_record/mice_pooled_models.csv#MICE_C_30d,LOCKED_RESULT,locked_analysis_record/mice_pooled_models.csv,41c6a64f707f40518b5c809e67b26b23e9b3ade65ddea82708d5c5c1ce1c4d0a,model_id=MICE_C_30d,NA,NA,NA,LOCKED_RESULT_VERIFIED,JAHA_v5_final_lineage
MIMIC_SOURCE_PRIORITY_30D,locked_analysis_record/mice_pooled_models.csv#MICE_B_30d,LOCKED_RESULT,locked_analysis_record/mice_pooled_models.csv,41c6a64f707f40518b5c809e67b26b23e9b3ade65ddea82708d5c5c1ce1c4d0a,model_id=MICE_B_30d,NA,NA,NA,LOCKED_RESULT_VERIFIED,JAHA_v5_final_lineage
MIMIC_SOURCE_POCT_ONLY_30D,locked_analysis_record/measurement_source_results.csv#SRC_poct_30d,LOCKED_RESULT,locked_analysis_record/measurement_source_results.csv,ebb489c3f31bc879aa24e9ce98b6b5da66232a0312700c9ba237153c87180909,model_id=SRC_poct_30d,NA,NA,NA,LOCKED_RESULT_VERIFIED,JAHA_v5_final_lineage
MIMIC_SOURCE_CENTRAL_LAB_ONLY_30D,locked_analysis_record/measurement_source_results.csv#SRC_centrallab_30d,LOCKED_RESULT,locked_analysis_record/measurement_source_results.csv,ebb489c3f31bc879aa24e9ce98b6b5da66232a0312700c9ba237153c87180909,model_id=SRC_centrallab_30d,NA,NA,NA,LOCKED_RESULT_VERIFIED,JAHA_v5_final_lineage
MIMIC_SOURCE_BLOOD_GAS_ONLY_30D,locked_analysis_record/measurement_source_results.csv#SRC_bloodgas_30d,LOCKED_RESULT,locked_analysis_record/measurement_source_results.csv,ebb489c3f31bc879aa24e9ce98b6b5da66232a0312700c9ba237153c87180909,model_id=SRC_bloodgas_30d,NA,NA,NA,LOCKED_RESULT_VERIFIED,JAHA_v5_final_lineage
MIMIC_SOURCE_COMMON_30D,locked_analysis_record/measurement_source_results.csv#SRC_common_30d,LOCKED_RESULT,locked_analysis_record/measurement_source_results.csv,ebb489c3f31bc879aa24e9ce98b6b5da66232a0312700c9ba237153c87180909,model_id=SRC_common_30d,NA,NA,NA,LOCKED_RESULT_VERIFIED,JAHA_v5_final_lineage
MIMIC_SOURCE_SAME_PATIENT_POCT_30D,locked_analysis_record/measurement_source_results.csv#SRC_samepatient_poct_30d,LOCKED_RESULT,locked_analysis_record/measurement_source_results.csv,ebb489c3f31bc879aa24e9ce98b6b5da66232a0312700c9ba237153c87180909,model_id=SRC_samepatient_poct_30d,locked_analysis_record/phase2a_source_model_reproduction.csv,dd95b86fa7e2fd5c9781c3ab7d3ee6c7d22888e3b9273dff77ae583f8d26c5a9,source=POCT; reproduction_status=PASS,LOCKED_RESULT_REPRODUCED_PHASE2A,JAHA_v5_final_lineage
MIMIC_SOURCE_SAME_PATIENT_LAB_30D,locked_analysis_record/measurement_source_results.csv#SRC_samepatient_lab_30d,LOCKED_RESULT,locked_analysis_record/measurement_source_results.csv,ebb489c3f31bc879aa24e9ce98b6b5da66232a0312700c9ba237153c87180909,model_id=SRC_samepatient_lab_30d,locked_analysis_record/phase2a_source_model_reproduction.csv,dd95b86fa7e2fd5c9781c3ab7d3ee6c7d22888e3b9273dff77ae583f8d26c5a9,source=central_laboratory; reproduction_status=PASS,LOCKED_RESULT_REPRODUCED_PHASE2A,JAHA_v5_final_lineage
