source_path_id,repository_path,action,provenance,include,notes
private-source-001,sql/mimic/00_schema_inventory.sql,migrate,paths_only,yes,OK
private-source-002,sql/mimic/01_build_cardiac_surgery_codebook.sql,migrate,paths_only,yes,OK
private-source-003,sql/mimic/02_build_cohort.sql,migrate,paths_only,yes,OK
private-source-004,sql/mimic/03_build_itemid_review.sql,migrate,paths_only,yes,OK
private-source-005,sql/mimic/04_extract_vitals_24h.sql,migrate,paths_only,yes,OK
private-source-006,sql/mimic/05_extract_labs.sql,migrate,paths_only,yes,OK
private-source-007,sql/mimic/06_extract_comorbidities_bmi.sql,migrate,paths_only,yes,OK
private-source-008,sql/mimic/07_extract_treatments.sql,migrate,paths_only,yes,OK
private-source-009,sql/mimic/08_build_severity.sql,migrate,paths_only,yes,OK
private-source-010,sql/mimic/09_build_shr_gv.sql,migrate,paths_only,yes,OK
private-source-011,sql/mimic/10_build_final_features.sql,migrate,paths_only,yes,OK
private-source-012,sql/mimic/11_build_qc_report.sql,migrate,paths_only,yes,OK
private-source-013,sql/mimic/12_bloodonly_glucose_patch.sql,migrate,paths_only,yes,OK
private-source-014,analyses/02_glucose_processing/01_rebuild_glucose_series.py,migrate,paths_only,yes,OK
private-source-015,analyses/01_cohort_construction/02_build_analysis_dataset.py,migrate,paths_only,yes,OK
private-source-016,analyses/03_primary_mimic/03_run_primary_models_mice.R,migrate,paths_only,yes,OK
private-source-017,analyses/03_primary_mimic/04_ph_rcs_absoluterisk.R,migrate,paths_only,yes,OK
private-source-018,analyses/08_shr_component/01_shr_hba1c_ipw.R,migrate,paths_only,yes,OK
private-source-019,analyses/05_source_sensitivity/01_build_source_series.py,migrate,paths_only,yes,OK
private-source-020,analyses/05_source_sensitivity/02_fit_source_models.R,migrate,paths_only,yes,OK
private-source-021,analyses/07_eicu/01_fit_harmonized_models.R,migrate,paths_only,yes,OK
private-source-022,analyses/03_primary_mimic/05_sensitivity_models.R,migrate,paths_only,yes,OK
private-source-023,analyses/03_primary_mimic/06_model_performance.R,migrate,paths_only,yes,OK
private-source-024,analyses/09_quality_control/01_assemble_results.py,migrate,paths_only,yes,OK
private-source-025,analyses/09_quality_control/02_missing_data_report.R,migrate,paths_only,yes,OK
private-source-026,analyses/08_shr_component/02_joint_prep.py,migrate,paths_only,yes,OK
private-source-027,analyses/08_shr_component/03_joint_models.R,migrate,paths_only,yes,OK
private-source-028,analyses/08_shr_component/04_joint_risk_performance.R,migrate,paths_only,yes,OK
private-source-029,analyses/08_shr_component/05_joint_source_sensitivity.R,migrate,paths_only,yes,OK
private-source-030,analyses/08_shr_component/06_joint_qc_assembly.py,migrate,paths_only,yes,OK
private-source-031,analyses/03_primary_mimic/supplement/01_refit_primary_models.R,migrate,paths_only,yes,OK
private-source-032,analyses/03_primary_mimic/supplement/03_alt_gv_framefix.R,migrate,paths_only,yes,OK
private-source-033,analyses/03_primary_mimic/supplement/03_measurement_framefix.R,migrate,paths_only,yes,OK
private-source-034,analyses/03_primary_mimic/supplement/04_diabetes_ix_framefix.R,migrate,paths_only,yes,OK
private-source-035,analyses/03_primary_mimic/supplement/05_extremes_framefix.R,migrate,paths_only,yes,OK
private-source-036,analyses/04_time_dependent/01_rcs_spline_framefix.R,migrate,paths_only,yes,OK
